date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:57	31328/31328	---M-Z	200	added ('OK')	text/css	etag:%227a60-5cfc197771996-gzip%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/elementor/css/post-104.css?ver=1635805260	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/elementor/css/post-1040feb.css	(from https://www.ubagroup.com/alumni/contact-us)
15:56:58	96/96	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2030%20Mar%202022%2014:56:58%20GMT	https://www.ubagroup.com/alumni/wp-json/wp/v2/pages/104	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-json/wp/v2/pages/104	(from https://www.ubagroup.com/alumni/contact-us)
15:56:59	96/96	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2030%20Mar%202022%2014:56:59%20GMT	https://www.ubagroup.com/alumni/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ubagroup.com%2Falumni%2Fcontact-us	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-json/oembed/1.0/embed8f6e	(from https://www.ubagroup.com/alumni/contact-us)
15:56:59	6072/6072	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217b8-5d2fc79e20a1a-gzip%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/essential-addons-elementor/472bf7cb6.min.js?ver=1648652094	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/essential-addons-elementor/472bf7cb6.min1945.js	(from https://www.ubagroup.com/alumni/contact-us)
15:57:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Mar%202022%2014:56:59%20GMT	https://www.ubagroup.com/alumni/?p=104	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/index9430.html	(from https://www.ubagroup.com/alumni/contact-us)
15:57:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Mar%202022%2014:57:01%20GMT	https://www.ubagroup.com/alumni/about-uba-alumni/membership	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/about-uba-alumni/membership	(from https://www.ubagroup.com/alumni/membership)
15:57:02	27125/27125	---M-Z	200	added ('OK')	text/css	etag:%2269f5-5d2dd0ad27bed-gzip%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/essential-addons-elementor/8d87229a8.min.css?ver=1648652096	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/essential-addons-elementor/8d87229a8.min79c3.css	(from https://www.ubagroup.com/alumni/membership)
15:57:02	24232/24232	---M-Z	200	added ('OK')	text/css	etag:%225ea8-5cfdeb668412c-gzip%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/elementor/css/post-91.css?ver=1635930333	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/elementor/css/post-91770c.css	(from https://www.ubagroup.com/alumni/membership)
15:57:03	677/677	---M-Z	200	added ('OK')	text/css	etag:%222a5-5bc3de90f9514-gzip%22	https://www.ubagroup.com/alumni/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.1	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min9e0b.css	(from https://www.ubagroup.com/alumni/membership)
15:57:04	96/96	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2030%20Mar%202022%2014:57:04%20GMT	https://www.ubagroup.com/alumni/wp-json/wp/v2/pages/91	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-json/wp/v2/pages/91	(from https://www.ubagroup.com/alumni/membership)
15:57:05	96/96	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2030%20Mar%202022%2014:57:05%20GMT	https://www.ubagroup.com/alumni/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ubagroup.com%2Falumni%2Fmembership	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-json/oembed/1.0/embed86b6	(from https://www.ubagroup.com/alumni/membership)
